name,address,contactName,phoneNumber,latitude,longitude
Eng Hua Bicycle Trading,316B Ang Mo Kio Street 31 Singapore 563316,,64526737,1.3647,103.84754
Keng Hock Bicycle Repair (By appointment only),"Fernvale Lea, Block 469A Sengkang West Way #20-602 Singapore 791469",,88103048,1.3959,103.87808
Emmanuel Cycles,356 Hougang Ave 7 #01-787 Singapore 530356,,92973960,1.37259,103.89881
The Servicce Course Singapore,261 Waterloo St Singapore 180261,,89525342,1.2988,103.85211
Khcycle ECP (Showroom),"1110 ECP, #01-08 Cyclist Park, Singapore 449880",,65094567,1.30412,103.92405
Freedom Bicycle Repair & Service,"21 Toh Guan Rd East, Toh Guan Centre, Singapore 608609",,93826066,1.33733,103.75436
Bangkit Bike Shop,"259 Bukit Panjang Ring Rd, #01-16, Singapore 671259",,90433565,1.37831,103.77271
12cycle,326 Tanjong Katong Rd Singapore 437104,,63457112,1.30426,103.8963
C.W.Lim Trading,"35 Telok Blangah Rise, #01-289, Singapore 090035",,64792968,1.2729,103.82206
Hin Leong Cycle,"71 Lor 4 Toa Payoh, #01-377, Singapore 310071",,62535341,1.33418,103.85215
R&M Rambo Bicycle Service,"Blk 352 Clementi Ave 2, #01-121 Singapore 120352",,90380354,1.31453,103.77141
Life On 2 Wheels (By appointment only),"998A Buangkok Crescent, #11-703, Singapore 531998",,94591985,1.38376,103.88017
Bike Bicycle Repair & Service (By appointment only),238 Tampines St 21 Singapore 520238,Peter,81677922,1.33701,103.88367
Avid Cycler,"51 Circuit Rd, Singapore 370051",,96759788,1.32458,103.88553
