name,address,contactName,phoneNumber,latitude,longitude
Bike Suite,"68 Jln Jurong Kechil, #01-19, Singapore 596180",,97950945,1.34051,103.77327
Hong Seng Guan Bicycle Shop,"107 Jalan Bukit Merah, #01-1810, Singapore 161107",,62726448,1.27987,103.82553
7 Cycle Workshop,"180 Woodlands Industrial Park E5, #01-14B Woodlands Auto Hub, Singapore 757512",,90055660,1.45193,103.79315
7 Cycle Workshop Bicyce Repair Center,"3 Pemimpin Dr, Singapore 576147",,90055660,1.35228,103.84234
808 Cycles,9 King Albert Park #02-01 kap Singapore 598332,,98208642,1.33516,103.77787
A Bicycle Shop,462 Upper Serangoon Road Singapore 534497,,68366566,1.34387,103.87103
Ace Sports Equipment & Coaching (By appointment only),"Block 915, Jurong West St 91, #03-194 Singapore 640915",,97728855,1.34109,103.68787
Actionbods Pte Ltd (By appointment only),"194 Pandan Loop #06-18 Pantech Business Hub, Singapore 128383",,67766995,1.31002,103.75312
Active Cycle Pte Ltd,"1 Kaki Bukit Ave 6, Singapore 417883",,92313156,1.34136,103.91241
Ah Seng Bicycle Shop,"Block 415 Yishun Ave, #01-317, Singapore 760408",,90169689,1.42627,103.8487
AK Cyclery,Block 517 West Coast Road #01-559 Singapore 120517,,82889798,1.30755,103.7602
Al Things Bicycle,"75 Pasir Ris Grove, Singapore 518207",,97665254,1.37304,103.94331
Alliance Bike Shop,"Block 327 Hougang Ave 5, #01-174 Singapore 530327",,94878807,1.36831,103.89599
Alliance Bike Shop/RayXtreme,"16 Arumugam Road #01-02, LTC Building Block D, Singapore 409961",,64004221,1.32529,103.89153
Alywin Cycle,"137 Teck Whye Lane #01-331, Teck Whye Shopping Centre, Singapore 680137",,67630779,1.37999,103.75236
Asphalt Bike Studio Singapore,"1 Tampines North Drive 1, #04-26, Singapore 528559",,87673255,1.37153,103.9342
Attitude Bikes,"118 Telok Kurau Road, Singapore 423803",,63444579,1.31464,103.90967
Ave Avenue Pte Ltd,353 Sembawang Road Singapore 758358,,62576678,1.42604,103.82573
Bacycle,"6 Yishun Industrial Street 1, #04-09, Singapore 768090",,85114120,1.43678,103.84362
Baik Cycles,"347 Changi Road, Singapore 419816",,89279472,1.31864,103.9094
BHC Bikes (Ban Hin Chan),"804 North Bridge Road, Singapore 198772",,63373602,1.30379,103.86043
Bicycle Singapore - Pacific CarryMe Bikes by MV,"30 Tai Seng Street, #02-14, BreadTalk HQ, Singapore 534013",,,1.33435,103.88964
Bicycle Warehouse,"9A Serangoon North Ave 5, Singapore 554531",,,1.37576,103.86855
Bicycles.sg,"31 Woodlands Close, Primz Bizhub, Singapore 737855",,90238932,1.43651,103.80605
bicyclesg.com,"Block 263 Serangoon Central Drive #01-57, Singapore 550263",,92704508,1.35404,103.87214
Bike Avenue,"6 Yishun Industrial Street 1, #04-09, Northview Bizhub Singapore 768090",,63415068,1.43678,103.84362
Bike Connect,23 Hoot Kiam Road Singapore 249405,,68365523,1.29648,103.83
Bike Continent,816 Upper Bukit Timah Road Singapore 678149,,65475455,1.37343,103.76313
Bike Labz,"1 Kaki Bukit Ave 3, #02-05 Singapore 416087",,67410818,1.33677,103.90494
Bike Nest,"50 Serangoon North Ave 4, #03-05, First Centre, Singapore 555856",,85009042,1.37059,103.87495
Bike Nest Abenteuer,"31 Woodlands Close, #01-08, Singapore 737855",,87421109,1.43651,103.80605
Bike Republic - Folding Bicycle Shop,"12 Tannery Lane Santat Building #06-02, Singapore 347775",,65920226,1.32894,103.87524
Bike Republic @Beach Road - Folding Bike Store,"1 Sultan Gate, #01-01, Singapore 198474",,89334723,1.30114,103.86077
Bike Sport,"201B Tampines Street 23, #01-1067, Singapore 527201",,67862428,1.35292,103.95386
Bike Station Shop,"118 Telok Kurau Road, Singapore 423803",,63454582,1.31464,103.90967
Bike Station Singapore - Blk 608,"608 Ang Mo Kio Ave 5, #01-2793, Singapore 560608",,93846436,1.37878,103.83706
Bike Technics Pte Ltd,"782 Upper Bukit Timah Road, Singapore 678126",,98441103,1.37263,103.76333
Bike Terminal,"335 Smith Street, #01-009 Chinatown Complex, Singapore 050335",,65341068,1.28242,103.84314
Bike X,"51 Tampines Ave 4, #01-96/97, Our Tampines Hub, Singapore 529684",,66848846,1.35326,103.94053
Bike Zone Connection,"10 Sengkang Square, #01-115, Singapore 544829",,62509798,1.38937,103.89365
Bike-20,"50 Serangoon North Ave 4, #02-11, Singapore 555856",,96570997,1.37059,103.87495
Bike31,"994 Bendemeer Road, #06-04, Singapore 339943",,91888310,1.31977,103.86508
BikeActually,"140 Paya Lebar Road, #09-11 AZ@Paya Lebar, Singapore 409015",,98249823,1.32733,103.89081
BikeActually,"1 Raffles Link, #B1-24A Citylink Mall, Singapore 039393",,92479384,1.29278,103.85417
Bikeasia,"400 Orchard Rd, Singapore 238875",,67359595,1.307,103.82921
Bikechanics (By appointment only),"289 Tampines Street 22, Singapore 520289",,97492898,1.34964,103.95534
Bikehaus,"785 Bukit Timah Rd, Singapore 269761",,64683887,1.331,103.79635
BikeLabz,"3012 Bedok Industrial Park E, #03-2018, Singapore 489978",,64412426,1.33683,103.94982
BikeLink,"Block 926, Yishun Central 1, #01-177, Singapore 760926",,67564481,1.42745,103.83759
Bikes n Bites,"110G Pasir Panjang Road #01-11, Interlocal Centre Singapore 118523",,64699964,1.27736,103.79644
BMXlegit,"3 Church St, Singapore 049483",,64004221,1.28326,103.84963
BMXlegit,"25 Tagore Lane, #03-12 RM-4 Singapore G Building, Singapore 787602",,64004221,1.38611,103.82877
Boom Cycle Pte Ltd,"200 Turf Club Road, #02-01, The Grandstand, Singapore 287994",,66944733,1.33815,103.79337
BRU,"Block 9, Yishun Industrial Street 1, #01-77 Northspring BizHub, Singapore 768163",,67173918,1.43848,103.84361
BRU2,67 Frankel Ave Singapore 458194,,64436284,1.31566,103.9189
B-spokes,"83 Joo Chiat Place, #01-02, Singapore 427800",,94590549,1.31376,103.90176
Built Wheels,"57 Eng Hoon Street, #01-80, Singapore 160057",,96287759,1.28465,103.83348
BYX - Bukit Timah,"6 Hindhede Road, Singapore 589242",,64699614,1.34499,103.77555
BYX - River Valley,"403 River Valley Road, Singapore 248301",,62355221,1.29536,103.8301
BZ Sport Cycles,"7 Gambas Crescent #09-33 Ark@Gambas, Singapore 757087",,93537969,1.44515,103.8127
Camp Bicycle by MOBOT (Central),"5 Coleman Street, Excelsior Shopping Center, #B1-08, Singapore 179805",,98565130,1.31328,103.82669
Camp Bicycle by MOBOT (North),"11 Woodlands Close, Woodlands 11, #04-06, Singapore 737853",,88603009,1.43524,103.80002
Camp Bicycle by MOBOT (West),"1 Bukit Batok Crescent, WCEGA Plaza, #03-16, Singapore 658064",,88269010,1.33878,103.75955
Cannasia@Frankel,"83 Frankel Avenue, Singapore 458211",,64414772,1.3152,103.91907
Changi Cycling Singapore,"4 Changi Village Road, #01-2056, Singapore 500004",,86661838,1.3891,103.98746
Cheap John's Enterprise,"598 Sembawang Road, Singapore 758456",,67537134,1.44077,103.82493
Cheap John's Enterprise (Serangoon),"462 Upper Serangoon Road, Singapore 534496",,63851164,1.34387,103.87103
Chin Hong Cycle Co.,"313 Joo Chiat Road, Singapore 427564",,64473766,1.30944,103.90254
Choo Huat & Co,"352 Clementi Avenue 2, #01-123, Singapore 120352",,67760122,1.31453,103.77141
City Scoot,"8 Raffles Avenue, The Esplanade Mall, #01-18, Singapore 039802",,93555881,1.28935,103.8559
Cityrider,"252 Jurong East Street 24, #01-119, Singapore 600252",,65621098,1.34317,103.73803
Coast Cycles,"54 Siglap Drive, Singapore 456176",,97600619,1.31632,103.92017
Crank n' Chain,"31 Ocean Way, #01-22, Singapore 098375",,87266230,1.24707,103.84218
Crankworkz,"50 Serangoon North Ave 4, #03-05, First Centre, Singapore 555856",,,1.37059,103.87495
Crankworkz,"5 Ang Mo Kio Industrial Park 2A, #06-04 Tech II, Singapore 567760",,96928387,1.37806,103.87043
Creed Cycle,"3018 Bedok North Street 5, #04-04, Singapore 486132",,94528213,1.33621,103.94663
Crib Sport Wizzkids,"59 Anchorvale Road, #01-03, Anchorvale Community Centre, Singapore 544965",,91168689,1.39701,103.88691
Culture Storck,"11 Thong Soon Avenue, Singapore 787438",,64592919,1.39742,103.81872
Custom Bike,"2 Jln Lokam, #01-02 Kengsington Square, Singapore 537846",,88220122,1.34563,103.88243
CW Lim Trading,"463 Commonwealth Drive, #01-396, Singapore 140463",,64792968,1.29992,103.79766
Cycle Bicycle,"362 Upper Paya Lebar Road, #03-03, Da Jin Factory Building, Singapore 534963",,96671643,1.34806,103.88094
Cycle Craft,"282 East Coast Road, Singapore 428946",,63458500,1.30812,103.9091
Cycle Project Store,"59 Eng Hoon Street, #01-79, Singapore 160059",,94576343,1.28415,103.83344
Cycle Worx,"421 Tagore Industrial Avenue, #01-01, Tagore 8, Singapore 787805",,62553848,1.38447,103.82737
Cyclelabs,"1 Pemimpin Drive, #10-05, Singapore 576151",,87885989,1.35189,103.84289
CycleLah,"2 Yishun Industrial Street 1, #07-21, Northpoint Bizhub, Singapore 768159",,98796813,1.43625,103.843
CycleLogy,"18 Boon Lay Way #02-126, Tradehub21, Singapore 609966",,90102730,1.32828,103.75303
Cyclenet,"1179 Serangoon Road, Singapore 328232",,62989596,1.32629,103.86656
CycleYard SG,"18 Boon Lay Way #08-143, Tradehub21, Singapore 609966",,96200898,1.32828,103.75303
Cyclogic Bike Workshop,"1 Tampines North Drive 1, #01-19, T-Space Building, Singapore 528559",,81622222,1.37153,103.9342
D'Bike Sutdio," Block 529, Hougang Avenue 6, #01-249, Singapore 530529",,84997120,1.37555,103.89062
Dcbikes,"415 Eunos Road 5, Singapore 400415",,86858855,1.31823,103.89785
Decathlon Bedok,"750A Chai Chee Road, #01-01 ESR BizPark @Chai Chee, Singapore 469005",,,1.32391,103.92092
Decathlon City Square Mall,"180 Kitchener Road, #02-03, City Square Mall, Singapore 208539",,,1.31135,103.85654
Decathlon Joon Koon,"1 Joo Koon Circle, #02-21, Singapore 629117",,,1.32461,103.6781
Decathlon Northshore,"407 Northshore Drive, #01-27, Northshore Plaza, Singapore 820407",,,1.41684,103.90206
Decathlon Orchard,"176 Orchard Road, #01-14/15/16/17, #02-07 & #02-11, The CentrePoint, Singapore 238844",,,1.30198,103.83976
Decathlon Singapore Lab,"230 Studium Blvd, Singapore 397799",,,1.30439,103.88233
Decks & Scooters,"1 Irving Place, #01-03, The Commerze@Irving, Singapore 369546",,63846052,1.33616,103.88624
Dynamic Bike Shop,"961 Jurong West Street 92, #01-204, Singapore 640961",,91771614,1.34158,103.69198
Eco Drive Bike Singapore,"11 Syed Alwi Road, Singapore 207629",,87526499,1.30681,103.85817
Electro Bikes,"684 Hougang Avenue 8, #01-947, Singapore 530684",,98977793,1.37431,103.88665
Elite Bicycles Asia Pte Ltd,"43 Kanpong Bahru Road, Singapore 169359",,62242578,1.27687,103.83621
Elite Bike Trading,"888 Woodlands Drive 50, #01-707, Singapore 730888",,63685900,1.43815,103.79542
Elite Custom Pte Ltd,"2 Balestier Road, #01-649, Singapore 320002",,62562028,1.32608,103.84294
Entro Cycles,"50 Serangoon North Ave 4, #01-13, Singapore 555856",,64819195,1.37059,103.87495
Escoot Singapore,"31 Woodlands Close, #07-06, Singapore 737855",,90238932,1.43651,103.80605
Esibike,"3014 Ubi Road 1, #01-290, Singapore 408702",,67470653,1.33029,103.89412
EverythingBikez,"299 Joo Chiat Road, Singapore 427550",,63489727,1.30966,103.9025
E-Walker,"3005 Ubi Ave 3, #01-52, Singapore 408861",,67422003,1.33089,103.89242
Fab's Cycle,"3 Pickering Street, #01-53, Singapore 048660",,67208845,1.28465,103.84682
Falcon PEV Pte Ltd,"2 Alexandra Road, #06-06, Singapore 159919",,67457882,1.29108,103.8251
Fazz Bike360,"465 Crawford Lane, #02-12, Singapore 190465",,62740074,1.30512,103.86266
FirstBIKE Singapore,"93 Robertson Quay #09-01, Singapore 238255",,91823343,1.29173,103.83697
Fishtail Cyclery,"801 French Road, #02-49, Singapore 200801",,86876686,1.30736,103.86047
Fishtail Cyclery,"18 Kaki Bukit Road 3, #03-18, Singapore 415978",,86876686,1.33722,103.9027
FixeSG Bedok,"744 Bedok Reservoir Road, Singapore 470744",,83885378,1.33786,103.92166
Fixiehaus,"81 Ubi Avenue 4, Singapore 408830",,93369921,1.33351,103.89179
FootLoops,"61 Ubi Road 1, #01-21 Singapore 408727", ,63840336,1.3318,103.89025
Freedom Bikes (Carbon Fibre Foldable Bike),"50 Ubi Avenue 3, #05-09, Singapore 408866",,68767991,1.33198,103.89538
Freewheel Bike Shop,"208 Telok Kurau Road, #01-21 Singapore 423835",,96130700,1.31209,103.9106
Garage B,"71 Ubi Road 1, Singapore 408732",,81889944,1.33235,103.88974
Giant Bicycles,"33 Ubi Avenue 3, #01-19, Singapore 408868",,68343611,1.3332,103.89429
Giant Bicycles,"733 Bukit Timah Road, Singapore 269748",,63144883,1.32983,103.79947
Gill Singapore,"37 Hongkong Street, Singapore 059676",,67349373,1.28738,103.84729
Globalrider Trading Pte Ltd,"170 Yishun Avenue 6, Singapore 768959",,67342633,1.43786,103.8407
GoCycling,"60 Airport Boulevard, #01-TS2-1, Changi Airport Terminal 2 Hub & Spoke Singapore 819643",,92383450,1.3553,103.98914
GoodTime Cycle,"183 Pelikat, #01-09, Singapore 537643",,89395363,1.35531,103.88786
GoodTime Cycle,"10 Kaki Bukit Avenue 4 #09-04, Singapore 415874",,91995401,1.33852,103.90657
gpBikes,"199 Upper Paya Lebar, Singapore 534875",,62892787,1.34035,103.8848
Gravity Racing,"65 Ubi Road 1, #01-96, Singapore 408729",,67027965,1.33248,103.88989
Happy & Joy Trading,"961 Jurong West Street 92, #01-190, Singapore 640961",,67935602,1.34158,103.69198
Happy Cycle,"355 Sembawang Way, #01-05, Singapore 750355",,64812213,1.44947,103.81882
Happy Owl Cycle,"482 Changi Road, Singpapore 419895",,87789528,1.31911,103.91359
HC Bicycle Shop,"661 Yishun Avenue 4, #01-427, Singapore 760661",,83073522,1.42202,103.84071
"Hello, Bicycle!","135, Middle Road, #01-01, Singapore 188975",,63330054,1.29931,103.85273
"Hello, Bicycle!","5 Joo Chiat Pl, Singapore 427741",,65189039,1.31323,103.9001
"Hello, Bicycle! Service Centre","261 Waterloo Street, #02-03, Singapore 180261",,67347708,1.29879,103.85197
Ho Bicycle Trading,"768 Woodlands Avenue 6, #01-08, Singapore 730768",,63620833,1.2988,103.85211
Hock Sin Hin,"17 Joo Chiat Place, Singapore 427747",,63442766,1.44576,103.79831
Hodaka Motoworld,"117 Tyrwhitt Road, Singapore 207546",,68440079,1.31344,103.90015
Hwa Aik Bicycle Trading,"146 Changi Road, Singapore 419726",,65527780,1.31112,103.85965
Impurity Bike,"33 Ubi Avenue 3, #01-19, Singapore 408868",,84986087,1.31674,103.90185
Innovari Sport,"69 Ubi Road 1, #10-18, Singapore 408731",,67173975,1.33175,103.89023
Integrated Riding LLP,"96 Koon Seng Road, Singapore 427035",,63460448,1.31203,103.90514
J33:3,"792A Woodlands Avenue 6 (MSCP), Singapore 731792",,,1.44263,103.80193
JackBikeSG,"1 Commonwealth Lane, #07-24, Singapore 149544",,81199777,1.30475,103.79639
JackBikeSG,"362 Upper Paya Lebar Road, #06-13, Singapore 534963",,81199777,1.34806,103.88094
java Bikes,"3005 Ubi Avenue 3, #01-58, Singapore 408861",,69882705,1.33089,103.89242
Jet Cycle,"148 Changi Road, Singapore 419727",,64811194,1.31676,103.90191
Jimove Ebikes,"547 Geylang Road, Singapore 389502",,83992679,1.31396,103.88544
